1 850 1 10000 30
   0   0.0   0.0   0.0     0
   1  -2.0  -5.0 1066.0    0
   2   3.0  -1.0 841.0     1
   3  -2.0   7.0  74.0     1
   4   3.0   0.0 687.0     1
   5   7.0  -3.0 175.0     0
   6  -5.0  -1.0 183.0     0
   7  -3.0   0.0 124.0     1
   8   0.0  -3.0   4.0     1
   9   4.0   1.0  81.0     1
  10   4.0  -5.0  56.0     1
  11  -2.0   3.0   9.0     0
  12   7.0   2.0   7.0     0
  13 -13.0  80.0 181.0     0
  14 -16.0  83.0 884.0     0
  15 -14.0  77.0 822.0     0
  16 -25.0  78.0 140.0     0
  17 -11.0  80.0 531.0     0
  18 -21.0  90.0  15.0     0
  19  -5.0  82.0  11.0     0
  20 -20.0  80.0 185.0     0
  21  -6.0  91.0 159.0     0
  22 -25.0  89.0 285.0     0
  23 -25.0  74.0   4.0     0
  24  -8.0  88.0  10.0     0
  25 -21.0  74.0   3.0     0
  26 -23.0  74.0   4.0     0
  27  -8.0  91.0  45.0     0
  28  -3.0  -8.0   4.0     0
  29 -30.0  15.0 225.0     0
  30 -14.0  24.0 286.0     0
