8 850 3 850 30
   0   0.0   0.0   0.0     0
   1  -2.0  -5.0 1066.0    0
   2   3.0  -1.0 841.0     1
   3  -2.0   7.0  74.0     1
   4   3.0   0.0 687.0     1
   5   7.0  -3.0 175.0     1
   6  -5.0  -1.0 183.0     1
   7  -3.0   0.0 124.0     1
   8   0.0  -3.0   4.0     1
   9   4.0   1.0  81.0     1
  10   4.0  -5.0  56.0     1
  11  -2.0  -4.0  29.0     1
  12   5.0  -5.0  23.0     1
  13  -4.0   1.0   4.0     1
  14  -2.0   3.0   9.0     1
  15   7.0   2.0   7.0     1
  16 -13.0  80.0 181.0     1
  17  -6.0  88.0  54.0     1
  18 -16.0  83.0 884.0     0
  19 -14.0  77.0 822.0     1
  20 -26.0  88.0 637.0     1
  21 -24.0  79.0  59.0     1
  22 -25.0  78.0 140.0     1
  23 -11.0  80.0 531.0     1
  24  -5.0  88.0  58.0     1  
  25 -14.0  24.0 286.0     0
  26   2.0  14.0 391.0     0
  27 -36.0   2.0 518.0     0
  28 -29.0   7.0 815.0     0
  29  -1.0  28.0  25.0     0
  30 -10.0  31.0  18.0     0
