5 1000 2 1000 30
   0   0.0   0.0   0.0     0
   1  87.0 -18.0 643.0     1
   2  71.0 -19.0 622.0     0
   3  81.0 -11.0 727.0     0
   4  80.0 -17.0  50.0     0
   5  74.0 -16.0 235.0     0
   6  75.0  -9.0  30.0     0
   7  76.0  -6.0   5.0     0
   8  86.0 -11.0  43.0     0
   9  85.0 -19.0 398.0     1
  10  83.0 -19.0  81.0     1
  11  70.0 -10.0  14.0     0
  12  48.0  21.0 171.0     1
  13  23.0  33.0 209.0     0
  14  35.0  36.0  20.0     0
  15  38.0  42.0  13.0     0
  16  22.0  26.0  93.0     0
  17  51.0  21.0  16.0     1
  18  30.0  39.0   3.0     0
  19  30.0  26.0 391.0     0
  20  29.0  23.0  52.0     0
  21  28.0  20.0 203.0     1
  22 -61.0  40.0  28.0     1
  23 -53.0  62.0  41.0     1
  24 -52.0  61.0   3.0     1
  25 -22.0 -10.0 410.0     1
  26 -29.0   3.0 678.0     1
  27 -30.0   3.0  24.0     1
  28 -33.0 -11.0  10.0     1
  29 -31.0   1.0  12.0     1
  30 -31.0 -10.0 268.0     1
