5 600 2 600 25
   0   0.0   0.0   0.0     0
   1  -7.0   9.0  94.0     1
   2  -7.0   8.0  12.0     1
   3 -15.0  16.0  17.0     0
   4  -2.0  13.0 619.0     0
   5   0.0   3.0  61.0     1
   6  -9.0   6.0   3.0     1
   7   2.0   5.0   4.0     0
   8 -13.0   9.0  13.0     1
   9 -15.0  10.0  44.0     1
  10 -14.0   2.0  12.0     0
  11 -40.0  24.0 114.0     0
  12 -54.0 -15.0  29.0     0
  13 -43.0  10.0  76.0     0
  14 -73.0  -2.0 106.0     0
  15 -76.0   4.0 157.0     0
  16 -45.0  31.0  43.0     0
  17 -29.0  36.0   4.0     0
  18 -78.0  11.0  38.0     0
  19 -31.0  25.0 212.0     0
  20 -67.0  17.0  42.0     0
  21 -31.0   4.0  10.0     0
  22 -51.0  10.0  19.0     0
  23 -30.0  -9.0 856.0     0
  24 -51.0  24.0  13.0     0
  25 -80.0 -10.0  67.0     0
