5 850 4 850 25
   0   0.0   0.0   0.0     0
   1  -2.0  -5.0 1066.0    0
   2   3.0  -1.0 841.0     1
   3  -2.0   7.0  74.0     1
   4   3.0   0.0 687.0     1
   5   7.0  -3.0 175.0     0
   6  -5.0  -1.0 183.0     0
   7  -3.0   0.0 124.0     1
   8   0.0  -3.0   4.0     1
   9   4.0   1.0  81.0     1
  10  -2.0   3.0   9.0     0
  11   7.0   2.0   7.0     0
  12 -13.0  80.0 181.0     0
  13 -16.0  83.0 884.0     0
  14 -14.0  77.0 822.0     0
  15 -25.0  78.0 140.0     0
  16 -11.0  80.0 531.0     0
  17 -21.0  90.0  15.0     0
  18  -5.0  82.0  11.0     0
  19 -20.0  80.0 185.0     0
  20  -6.0  91.0 159.0     0
  21 -25.0  89.0 285.0     0
  22 -25.0  74.0   4.0     0
  23  -8.0  88.0  10.0     0
  24 -21.0  74.0   3.0     0
  25 -23.0  74.0   4.0     0
