3 150 2 150 40
   0     30.0    40.0     0       0
   1     37.0    52.0     7       1
   2     49.0    49.0    30       0
   3     52.0    64.0    16       0
   4     20.0    26.0     9       0
   5     40.0    30.0    21       0
   6     21.0    47.0    15       0
   7     17.0    63.0    19       1
   8     31.0    62.0    23       0
   9     52.0    33.0    11       1
  10     51.0    21.0     5       0
  11     42.0    41.0    19       1
  12     31.0    32.0    29       1
  13      5.0    25.0    23       0
  14     12.0    42.0    21       1
  15     36.0    16.0    10       1
  16     52.0    41.0    15       1
  17     27.0    23.0     3       1
  18     17.0    33.0    41       0
  19     13.0    13.0     9       1
  20     57.0    58.0    28       0
  21     62.0    42.0     8       0
  22     42.0    57.0     8       0
  23     16.0    57.0    16       1
  24      8.0    52.0    10       0
  25      7.0    38.0    28       1
  26     27.0    68.0     7       0
  27     30.0    48.0    15       0
  28     43.0    67.0    14       1
  29     58.0    48.0     6       0
  30     58.0    27.0    19       0
  31     37.0    69.0    11       1
  32     38.0    46.0    12       1
  33     46.0    10.0    23       0
  34     61.0    33.0    26       1
  35     62.0    63.0    17       1
  36     63.0    69.0     6       1
  37     32.0    22.0     9       1
  38     45.0    35.0    15       0
  39     59.0    15.0    14       0
  40     10.0    17.0    27       1
