3 100 2 100 25
   0     30.0    40.0	    0     0 
   1     37.0    52.0     7     1 
   2     49.0    49.0    30     0 
   3     52.0    64.0    16     0 
   4     20.0    26.0     9     0 
   5     40.0    30.0    21     0 
   6     21.0    47.0    15     0 
   7     17.0    63.0    19     1
   8     31.0    62.0    23     0 
   9     52.0    33.0    11     1
  10     51.0    21.0     5     0 
  11     42.0    41.0    19     0 
  12     31.0    32.0    29     1
  13      5.0    25.0    23     0 
  14     12.0    42.0    21     0 
  15     36.0    16.0    10     0 
  16     52.0    41.0    15     1
  17     27.0    23.0     3     1
  18     17.0    33.0    41     0 
  19     57.0    58.0    28     0 
  20     62.0    42.0     8     0 
  21     42.0    57.0     8     0 
  22     16.0    57.0    16     0 
  23      8.0    52.0    10     0 
  24      7.0    38.0    28     0 
  25     27.0    68.0     7     0 
