2 200 2 150 30
   0     35.0    35.0     0     0
   1     41.0    49.0    10     0
   2     35.0    17.0     7     1
   3     55.0    45.0    13     0
   4     55.0    20.0    19     0
   5     15.0    30.0    26     0
   6     25.0    30.0     3     1
   7     20.0    50.0     5     0
   8     10.0    43.0     9     1
   9     55.0    60.0    16     0
  10     30.0    60.0    16     1
  11     20.0    65.0    12     0
  12     50.0    35.0    19     0
  13     30.0    25.0    23     0
  14     15.0    10.0    20     0
  15     30.0     5.0     8     0
  16     10.0    20.0    19     0
  17      5.0    30.0     2     0
  18     20.0    40.0    12     0
  19     15.0    60.0    17     0
  20     45.0    65.0     9     0
  21     45.0    20.0    11     0
  22     45.0    10.0    18     1
  23     55.0     5.0    29     0
  24     65.0    35.0     3     0
  25     65.0    20.0     6     0
  26     45.0    30.0    17     0
  27     35.0    40.0    16     0
  28     64.0    42.0     9     1
  29     35.0    69.0    23     1
  30     63.0    65.0     8     1
