1 100 1 500 30
   0     35.0    35.0     0       0
   1     41.0    49.0    10       0
   2     35.0    17.0     7       1
   3     55.0    45.0    13       1
   4     55.0    20.0    19       1
   5     15.0    30.0    26       1
   6     25.0    30.0     3       1
   7     20.0    50.0     5       1
   8     10.0    43.0     9       1
   9     55.0    60.0    16       1
  10     30.0    60.0    16       1
  11     20.0    65.0    12       1
  12     50.0    35.0    19       1
  13     30.0    25.0    23       1
  14     15.0    10.0    20       1
  15     30.0     5.0     8       0
  16     10.0    20.0    19       1
  17      5.0    30.0     2       0
  18     20.0    40.0    12       0
  19     15.0    60.0    17       1
  20     45.0    65.0     9       1
  21     45.0    20.0    11       1
  22     45.0    10.0    18       1
  23     55.0     5.0    29       0
  24     65.0    35.0     3       0
  25     65.0    20.0     6       1
  26     45.0    30.0    17       1
  27     35.0    40.0    16       1
  28     41.0    37.0    16       1
  29     65.0    55.0    14       0  
  30      2.0    60.0     5       0
